img	comment	related text	question	answer		
		When the picture was criticised for its sexually evocative content by a visitor to Arrigoni's villa, the cardinal made an eloquent defense of the artist and the painting.	Who was the picture criticised for its sexually evocative content by?	by a visitor to Arrigoni's villa		
		Cigoli shows the moment at which the angel intervenes, pulling back Abraham's arm as he points to the ram.	Who points to the ram?	the angel		
		According to Cigoli's nephew, Giovanni Battista Cardi, the picture was painted while his uncle was working for Cardinal Pompeo Arrigoni in Frascati just outside Rome.	What was Giovanni Battista Cardi's uncle working for Cardinal Pompeo Arrigoni in Frascati just outside?	just outside Rome		
		Despite the inherent suspense of the narrative, the picture itself lacks dramatic tension.	What does Isaac's sensuous nude body lack dramatic tension despite?	despite the inherent suspense of the narrative		
		Cigoli, a Florentine, is documented in Rome between 1606-07, a date which accords well with the style of The Sacrifice of Isaac.	Who is documented in Rome between 1606-07?	Cigoli		
		Abraham's massive red tunic serves as a foil for Isaac's unblemished adolescent body, shifting the emphasis to the work's more lascivious characteristics.	What does Abraham's massive red tunic serve as?	as a foil for Isaac's unblemished adolescent body		
		When the picture was criticised for its sexually evocative content by a visitor to Arrigoni's villa, the cardinal made an eloquent defense of the artist and the painting.	What did the cardinal make?	an eloquent defense of the artist and the painting		
		When the picture was criticised for its sexually evocative content by a visitor to Arrigoni's villa, the cardinal made an eloquent defense of the artist and the painting.	What was criticised for its sexually evocative content by a visitor to Arrigoni's villa?	the picture		
		Isaac's sensuous nude body, however, reflects the artist's first-hand experience of classical sculpture.	What reflects the artist's first-hand experience of classical sculpture?	Isaac's sensuous nude body		
		Although The Sacrifice of Isaac was painted in Rome, the composition clearly recalls the Florentine tradition of Lorenzo Ghiberti and Andrea del Sarto.	What does the composition clearly recall?	the Florentine tradition of Lorenzo Ghiberti and Andrea del Sarto		
		Cigoli's picture depicts one of the most dramatic moments in the Old Testament (Genesis 22: 1-14), where the Lord tests Abraham's faith by asking him to sacrifice his only son Isaac.	When does Cigoli's picture depict?	one of the most dramatic moments in the Old Testament Isaac		
		Abraham's massive red tunic serves as a foil for Isaac's unblemished adolescent body, shifting the emphasis to the work's more lascivious characteristics.	What serves as a foil for Isaac's unblemished adolescent body?	Abraham's massive red tunic		
		Isaac's sensuous nude body, however, reflects the artist's first-hand experience of classical sculpture.	Whose first-hand experience of classical sculpture does Isaac's sensuous nude body reflect?	the artist's first-hand experience of classical sculpture		
		According to Cigoli's nephew, Giovanni Battista Cardi, the picture was painted while his uncle was working for Cardinal Pompeo Arrigoni in Frascati just outside Rome.	Whose nephew is Giovanni Battista Cardi?	Cigoli's nephew		
		The emotions evoked, he said, were the result of Cigoli's excellence as a painter; any stimulation was the fault of the viewer	What was any stimulation?	the fault of the viewer		
		Cigoli shows the moment at which the angel intervenes, pulling back Abraham's arm as he points to the ram.	Who shows the moment at which the angel intervenes?	Cigoli		
		Cigoli shows the moment at which the angel intervenes, pulling back Abraham's arm as he points to the ram.	When does Cigoli show at which the angel intervenes?	the moment		
		When the picture was criticised for its sexually evocative content by a visitor to Arrigoni's villa, the cardinal made an eloquent defense of the artist and the painting.	What was the picture criticised for by a visitor to Arrigoni's villa?	for its sexually evocative content		
		Cigoli shows the moment at which the angel intervenes, pulling back Abraham's arm as he points to the ram.	What does the angel point to?	to the ram		
		Although The Sacrifice of Isaac was painted in Rome, the composition clearly recalls the Florentine tradition of Lorenzo Ghiberti and Andrea del Sarto.	Where was the Sacrifice of Isaac painted?	in Rome		
		Just as Abraham is about to slit Isaac's throat an angel miraculously appears and points to a ram, tangled in a thicket, that can be sacrificed instead.	What does an angel miraculously point to?	to a ram		
		Cigoli's picture depicts one of the most dramatic moments in the Old Testament (Genesis 22: 1-14), where the Lord tests Abraham's faith by asking him to sacrifice his only son Isaac.	When does Cigoli's picture depict one?	of the most dramatic moments in the Old Testament Isaac		
		Just as Abraham is about to slit Isaac's throat an angel miraculously appears and points to a ram, tangled in a thicket, that can be sacrificed instead.	Who points to a ram?	an angel miraculously		
		When the picture was criticised for its sexually evocative content by a visitor to Arrigoni's villa, the cardinal made an eloquent defense of the artist and the painting.	Who did the cardinal make an eloquent defense of?	of the artist and the painting		
		According to Cigoli's nephew, Giovanni Battista Cardi, the picture was painted while his uncle was working for Cardinal Pompeo Arrigoni in Frascati just outside Rome.	Who was working for Cardinal Pompeo Arrigoni in Frascati just outside Rome?	Giovanni Battista Cardi's uncle		
		The emotions evoked, he said, were the result of Cigoli's excellence as a painter; any stimulation was the fault of the viewer	What evoked were the result of Cigoli's excellence as a painter?	the emotions		
		Abraham's massive red tunic serves as a foil for Isaac's unblemished adolescent body, shifting the emphasis to the work's more lascivious characteristics.	What does Abraham's massive red tunic shift to the work's more lascivious characteristics?	the emphasis		
		Cigoli, a Florentine, is documented in Rome between 1606-07, a date which accords well with the style of The Sacrifice of Isaac.	What is Cigoli documented in between 1606-07?	in Rome		
